ファイアエンブレム	Fire Emblem
針手裏剣	Sting Shuriken
鉄の刀	Iron Katana
鉄の和弓	Iron Yumi
鉄の手裏剣	Iron Shuriken
鉄の投撃刀	Iron Katti
鉄の投撃剣	Iron Kukri
鉄の投撃斧	Iron Star Axe
鉄の投撃槍	Iron Javelin
鉄の投撃薙刀	Iron Nageyari
鉄の投撃金棒	Iron Mace
鉄の暗器	Iron Dagger
鉄の薙刀	Iron Naginata
鉄の近撃和弓	Iron Hankyu
鉄の近撃弓	Iron Shortbow
鉄の金棒	Iron Club
銀の刀	Silver Katana
銀の和弓	Silver Yumi
銀の手裏剣	Silver Shuriken
銀の投撃刀	Silver Katti
銀の投撃剣	Silver Kukri
銀の投撃斧	Silver Star Axe
銀の投撃槍	Silver Javelin
銀の投撃薙刀	Silver Nageyari
銀の投撃金棒	Silver Mace
銀の暗器	Silver Dagger
銀の薙刀	Silver Naginata
銀の近撃和弓	Silver Hankyu
銀の近撃弓	Silver Shortbow
銀の金棒	Silver Club
鋼の刀	Steel Katana
鋼の和弓	Steel Yumi
鋼の手裏剣	Steel Shuriken
鋼の投撃刀	Steel Katti
鋼の投撃剣	Steel Kukri
鋼の投撃斧	Steel Star Axe
鋼の投撃槍	Steel Javelin
鋼の投撃薙刀	Steel Nageyari
鋼の投撃金棒	Steel Mace
鋼の暗器	Steel Dagger
鋼の薙刀	Steel Naginata
鋼の近撃和弓	Steel Hankyu
鋼の近撃弓	Steel Shortbow
鋼の金棒	Steel Club
鍛冶	Blacksmith
鎧盾	Armor Shield
鎧盾の書	Armor Shield
長柄刀	Longsword
閉所防御	Natural Cover
闇の渓谷	Canyon Valley
防陣＋	Dual Guardsman
陰陽師	Onmyoji
陽光	Flare
陽動作戦	A Brief Diversion
障害物	Obstacle
雷書トロン	Thoron
雷神刀	Raijinto
霊刀	Spirit Katana
青の踊り	Fancy Footwork
青銅の刀	Brass Katana
青銅の和弓	Brass Yumi
青銅の手裏剣	Brass Shuriken
青銅の暗器	Bronze Dagger
青銅の薙刀	Brass Naginata
青銅の金棒	Brass Club
順風耳	Vigilance
風の血	Wind Disciple
風の部族の村	Wind Tribe Village
風は導く	A Guiding Wind
風神弓	Fujin Yumi
飛刀	Wakizashi
飛燕の一撃	Darting Blow
馬神・午	Horse Spirit
騎士の腕輪	Paladin Band
騎士の護り	Knight Ward
騎士道	Chivalry
高貴なる血統	Nobility
鬼人	Oni Savage
鬼神の一撃	Death Blow
鬼神飛燕の一撃	Swift Sparrow
飛燕の一撃	Darting Blow
鬼神金剛の一撃	Sturdy Blow
鬼神明鏡の一撃	Mirror Strike
飛燕明鏡の一撃	Swift Strike
飛燕金剛の一撃	Steady Blow
金剛の一撃	Armored Blow
金剛明鏡の一撃	Bracing Blow
明鏡の一撃	Warding Blow
金剛の構え	Steady Stance
金剛の呼吸	Steady Breath
明鏡の構え	Warding Stance
鬼神の構え	Fierce Stance
アスク	Askr
エンブラ	Embla
魔の風	Malefic Aura
魔剣ガングレリ	Ganglari
魔力+2	Magic +2
魔力の吸収	Magictaker
魔力の吸収の書	Magictaker
魔力封じ	Seal Magic
魔女	Witch
魔女の大釜	Witch's Brew
魔女の毒薬	Toxic Brew
魔女の魔法陣	Witch's Mark
魔封じの槍	Hexlock Spear
魔法カウンター	Countermagic
魔竜	M. Dragon
魔竜石	Magestone
魔道の国カダイン	An Oasis of Magic
魔道士の腕輪	Mage Band
魔防+2	Resistance +2
魔防の吸収	Resistancetaker
魔防の吸収の書	Resistancetaker
魔防の薬	Resistance Tonic
魔防封じ	Seal Resistance
鯉のぼり	Carp Streamer
鳥神・酉	Bird Spirit
鳥翼族	Bird Tribe
鳴動	Colossus
黄泉の階段	Eternal Stairway
黎明	Day Breaks
黒天馬の翼	Ebon Wing
黒竜砦	Fort Dragonfall
黒騎士団	Sable Order
鼠神・子	Rat Spirit
龍神・辰	Dragon Spirit
ＨＰの薬	HP Tonic
ソードドラゴン	Sword Dragon
ランスドラゴン	Lance Dragon
アクスドラゴン	Axe Dragon
ソードペガサス	Sword Pegasus
ランスペガサス	Lance Pegasus
アクスペガサス	Axe Pegasus
ランスアーマー	Lance Armor
レッドナイト	Red Knight
ブルーナイト	Blue Knight
グリーンナイト	Green Knight
ボウナイト	Bow Knight
ロッドナイト	Rod Knight
ソードファイター	Sword Fighter
ランスファイター	Lance Fighter
アクスファイター	Axe Fighter
レッドマージ	Red Mage
ブルーマージ	Blue Mage
グリーンマージ	Green Mage
ボウファイター	Bow Fighter
ラウアマムクート	Rauor Mamkute
ブラーマムクート	Blar Mamkute
グルンマムクート	Gronn Mamkute
アルフォンス	Alfonse
シャロン	Sharena
フィヨルム	Fjorm
スリーズ	Gunnthra
エクラ	Kiran
ヴェロニカ	Veronica
ブルーノ	Bruno
ロキ	Loki
スルト	Surtr
レーヴァテイン	Laevatein
レーギャルン	Laegjarn
死線	Life and Death
スキルの書	Skill Book
レザー	Leather Shield
鉄の盾	Iron Shield
鋼の盾	Steel Shield
銀の盾	Silver Shield
ペルシーダ	Perushida
ドラゴンシールド	Dragon Shield
祈りペンダント	MiraclePendant
グレートソード	Great Sword
グレートランス	Great Lance
グレートアクス	Great Axe
グレートボウ	Great Bow
マスターソード	Master Sword
マスターランス	Master Lance
マスターアクス	Master Axe
マスターボウ	Master Bow
ウィンド	Wind
ハルミライン	Harumi Line
王宮魔道士	Royal Mage
親衛隊	BodyGuard
ジャハナ軍	Jehannan
幻影の騎士	Phantom Kn.
黒鋼騎士団	BlackSteelKn.
傭兵隊	Mercenary Co.
アレス隊	Ares Co.
皇騎兵	Emperor's kn.
隊長	Captain
山賊団	Bandits
ベルクローゼン	Bergrosen
ブルック	Brook
ユグドラ・ユニオン	Yggdra Union
テイルズ	Tales
ソーサラー	Sorceror
ミスリルブレード	Mythril Blade
アダマントランス	Adamant Lnc
ピアシングソード	Piercing Swd
グラム	Nothung
アーマーキラー	Armor Cutter
ドラゴンキラー	Dragonslayer
プリズムソード	Prism Sword
インフェルノ	Inferno
ラディアンス	Radiance
レイ	Ray
ソルスティス	Solstice
トーチ	Illuminate
天使の羽	Speedwings
エーテルスフィア	Ether Sphere
アミュレット	Amulet
カプリーチオ	Cappricio
ヒーローズフレア	Hero's Flare
チャージ	Charge
スーパーライフル	Super Rifle
ブラディライフル	Bloody Rifle
ライフルボウ	Rifle Bow
レクイエム	Requiem
インペリウス	Imperius
ヒーロースレイヤー	Heroslayer
チェーンソー	Chainsaw
ソニックショット	Sonic Shot
天使の翼	Angelic Wing
マグナムソード	Magnum Swd
マグナムランス	Magnum Lnc
マグナムアクス	Magnum Axe
マグナムボウ	Magnum Bow
マグナムレイ	Magnum Ray
マグナムシード	Magnum Shd
マグナムブレス	Magnum Bliss
剣士	Swordsman
アーチナイト	Arch Knight
ミスティックセージ	Mystic Sage
『近接防御』\r\n敵攻撃時に直接攻撃を\e\n－６ダメージ	Short Shield\r\n-6 damage when attacked up close.
『コンゴウの一撃』\r\n自分から攻撃時に\r\n受けるダメージー１０	Armormed Blow\r\nDef +10 when attacking.
『神風招来』\r\n杖を使った場合、一度だけ\r\n確実に再行動ができる	Powerstaff\r\nTake another action after using\r\na staff (once per turn).
風の精霊セチの加護\r\n１ターン　味方の回避を上げます	A dance that increases an\r\nallies' avoid by 10 for a turn.
　『秘伝』\r\nスキル発動率を１０％上昇させる	Rightful King\r\n+10% to skill activation rate.
　『エリート』\r\n通常よりも多くの経験値を得る	Paragon\r\nEXP gain is doubled.
奥義『太陽』（技％）\r\n与ダメージの半分を回復する	Sol (Skill%)\r\nRestore HP equal to half\r\nof damage dealt.
奥義『月光』（技％）\r\n相手の守備を半減して攻撃	Luna (Skill%)\r\nHalve opponent's defense.
奥義『流星』（ＬＶ％）\r\n目にもとまらぬ連続攻撃	Astra (Lv%)\r\nAttack 5 times at half damage.
奥義『鳴動』（技％）\r\nダメージに自分の体格を加算する	Colossus (Skill%)\r\nAdd Con to damage.
奥義『復讐』（技％）\r\n減少したＨＰ半分をダメージに加算	Vengeance (Skill%)\r\nAdd half of lost HP to damage.
奥義『天空』（ＬＶ％）\r\n敵の守備を８割減し　ダメージ半分回復	Aether (Lv%)\r\nPerform Luna and Sol consecutively.
奥義『瞬殺』（特殊％）\r\n通常の５倍のダメージを与える	Shootout (Random%)\r\nDeal quintuple damage.
　奥義『太陽』（技％）\r\n与ダメージの半分を回復する	Sol (Skill%)\r\nRestore HP equal to half\r\nof damage dealt.
　奥義『月光』（技％）\r\n相手の守備を半減して攻撃	Luna (Skill%)\r\nHalve opponent's defense.
　奥義『流星』（ＬＶ％）\r\n目にもとまらぬ連続攻撃	Astra (Lv%)\r\nAttack 5 times at half damage.
　奥義『鳴動』（技％）\r\nダメージに自分の体格を加算する	Colossus (Skill%)\r\nAdd Con to damage.
　奥義『復讐』（技％）\r\n減少したＨＰ半分をダメージに加算	Vengeance (Skill%)\r\nAdd half of lost HP to damage.
　奥義『天空』（ＬＶ％）\r\n敵の守備を８割減し　ダメージ半分回復	Aether (Lv%)\r\nPerform Luna and Sol consecutively.
　奥義『瞬殺』（特殊％）\r\n通常の５倍のダメージを与える	Shootout (Random%)\r\nDeal quintuple damage.
　『怒り』\r\nＨＰが１ケタのとき必殺＋５０％	Wrath\r\nCrit +50% when HP is at 1.
　『キャンセル』（技％）\r\n相手の反撃を封じる	Cancel\r\nNegates the opponent's counterattack.
　『待ち伏せ』\r\n常に先制攻撃をおこなう	Ambush\r\nAlways attack first.
　『見切り』\r\n相手の戦闘スキルを無効にする	Nihil\r\nIgnore opponent's combat skills.
　『祈り』（幸運×３％）\r\n致命攻撃をＨＰ１で耐える	Miracle (Luck x3%)\r\nSurvive a fatal blow with 1 HP.
　『再行動』（幸運％）\r\n行動終了後にもう一度行動ができる	Re-Move (Luck%)\r\nAct again after completing an action.
　『前線指揮』\r\n３マス以内の味方の命中回避＋１０％	Charm\r\nAllies within 3 spaces gain +10 hit.
　『恐怖』\r\n３マス以内の敵の回避必殺－１０％	Intimidate\r\nEnemies within 3 tiles lose 10 avoid.
　『連続』（技％）\r\n攻撃をもう一度おこなう	Adept (Skill%)\r\nInitiates another attack.
　『回復』\r\n毎ターンＨＰを２０％回復	Renewal\r\nRestore 20%HP at the\r\nstart of every turn.
　『疾風迅雷』\r\n戦闘に勝利した場合、再行動が可能	Galeforce\r\nAct again after defeating an\r\nenemy (once per turn).
奥義『陽光』（技％）\r\n敵の魔防を半減し　ダメージ半分回復	Flare (Skill%)\r\nHalve the foes's resistance and heal\r\nHP equal to half of damage dealt.
　『魔道特効』\r\n魔道士に対して常に特効	Magekiller\r\nDeal effective damage to magic users.
　『大盾』（ＬＶ％）\r\n相手の物理攻撃を半減する	Pavise (Lv%)\r\nReduces physical damage by half.
　『大盾』（ＬＶ％）\r\n相手の攻撃を半減する	Pavise (Lv%)\r\nReduces physical damage by half.
　『召喚』\r\n異形の者を召喚する	Summon\r\nSummons a phantom.
奥義『衝撃』（技％）\r\n相手をバサーク状態にする	Enrage (Skill%)\r\nMakes the opponent go berserk.
　『近接射撃』\r\n弓による直接攻撃が可能	Proximity Shot\r\nCan use bows at close range.
　『神射手』\r\n弓による攻撃の射程を伸ばす	Bowrange+r\r\n+1 maximum attack range\r\nwhile using a bow.
　『必的』（技％）\r\n時々必ず攻撃が当たる	Sure Shot (Skill%)\r\nThe attack will not miss.
　『すり抜け』\r\n敵ユニットに通過を防がれない	Pass\r\nMove through enemy units.
　『神盾』\r\n被ダメージを常時半減	Divine Shield\r\nHalves all damage received.
　『かぎ開』\r\n扉や宝箱を開けられる	Locktouch\r\nOpen doors and chests without keys.
　『盗む』\r\n装備していないアイテムを奪える	Steal\r\nSteal unequipped items when\r\nspeed is higher than target's.
奥義『叫喚』（技％）\r\n相手を石化状態にする	Petrify (Skill%)\r\nTurns the opponent to stone.
『勇将』\r\nＨＰ半減時、スキル発動率を\r\nプラス３０％	Hero\r\nWhen HP is less than half,\r\nskill activation rate +30%.
『強運』\r\n敵から必殺を受けない	Blessing\r\nCannot be defeated by enemy attacks.
　『メンテナンス』\r\n『盗み』と『担ぎ』を無効にする	Watchful\r\nCannot be captured or stolen from.
　『メンテナンス』\r\n盗む・担ぐを無効化する	Watchful\r\nCannot be captured or stolen from.
『練達』\r\n特効を無効にする	Nullify\r\nNegates effective damage.
　『聖盾』（技％）\r\n相手の魔法攻撃を無効にする	Aegis (Skill%)\r\nNullify a magical attack.
奥義『華炎』（技％）\r\n物理攻撃では魔力の半分\r\n魔法攻撃では力の半分を加算	Ignis (Skill%)\r\nAdd Str/2 when attacking magically.\r\nAdd Mag/2 when attacking physically.
『連撃防御』\r\n被追撃時、１回目以降の\r\nダメージを半減する	Bunker\r\nReduces follow-up damage received by half.
『虚無』\r\n取得する経験値が０になる	Void Curse\r\nUnit gives no experience\r\npoints upon being defeated.
　『虚無の呪い』\r\n戦った時に得られる経験値が０になる	Void Curse\r\nUnit gives no experience\r\npoints upon being defeated.
奥義『竜牙』（技％）\r\n相手に与えるダメージの半分を\r\n攻撃力に追加	Rend Heaven (Skill%)\r\nAdds half of the opponent's\r\nstrength to your attack.
　『再移動』\r\n行動した後に、残った移動分\r\n再移動ができる	Canto\r\nCan use remaining movement\r\nafter performing any action.
　『聖杖』\r\n杖の射程がリブローと同じになる	Staff Savant\r\nIncrease maximum staff range by 1.
　『守備隊形』\r\nこの戦闘では追撃が発生しない	Wary Fighter\r\nPrevents all follow-up attacks.
『必殺』\r\n必殺率が１５％上昇する	Crit+15\r\nGrants +15 to\r\ncritical hit rate.
『攻め立て』\r\n自分の追撃を連続で行う	Desperation\r\nFollow-up attacks will occur immediately.
『武器殺し』\r\n相手が特定の武器を装備している場合\r\n優位になれる補正が付く	Breaker\r\n+50 Hit/Avo against the\r\nspecified weapon.
奥義『撃破』（技％）\r\n相手に与えるダメージを２倍する\r\n（必殺時は４倍）	Impale (Skill%)\r\nDeals double damage. Deals quadruple\r\ndamage if it will defeat the opponent.
『生命吸収』\r\n自ターンの攻撃で敵を撃破した場合\r\nＨＰを５０％回復する	Lifetaker\r\nRestore 50%HP after attacking
and defeating an enemy.
『鬼神の一撃』\r\n自分から攻撃時に\r\n与ダメージ＋５必殺＋１５	Death Blow\r\nDamage +5 when attacking.
『死線』\r\n与ダメージ＋１０被ダメージ＋１０	Life and Death\r\nDamage dealt and recieved +10.
『持ち替え』\r\n反撃時、その距離に見合った武器に\r\n持ち替えて戦闘を行う	Shift\r\nCan change weapons when attacked\r\nif unable to counterattack.
奥義『ジハード』（ＬＶ％）\r\nＨＰ半減時、元の攻撃力の２倍のダメージと\r\n与ダメの半分を回復する	Crusade (Lv%)\r\nWhen HP is half or less, deal double damage\r\nand restore HP equal to damage dealt.
『奥義の拍動』\r\n４ターンに１回だけ、\r\n確率スキルの発動率が１００％になる	Mysterious Rhythm\r\nOnce every 4 turns, skills occur\r\nat a 100% activation rate.
奥義『月食』（技％）\r\n相手のＨＰを１にする\r\n（撃破できる場合には発動しない）	Eclipse (Skill%)\r\nIf the attack does not defeat the\r\nopponent, it reduces their HP to 1.
このキャラは章終了時に離脱します\r\n部隊に加入しません	Aside\r\nThis character is only usable\r\nfor the duration of the chapter.
遠距離攻撃を得意とする戦車\r\n装備『弓』	Heavy tanks specialized in attacking\r\nfrom a long range. Equip: Ballistae.『遠距離防御』\r\n被間接攻撃時、受けるダメージー６	Tower Shield\r\n-6 damage when attacked at range.
『電撃戦闘』\r\nお互い２回連続攻撃を行う	Continue\r\nDoubles the amount of\r\nrounds of all combat.
『奮迅』\r\n戦闘時、大幅に強化されるが\r\n戦闘終了時にＨＰが６減少する	Fury\r\nStr/Spd/Def/Res +2, but take\r\n6 damage after attacking.
『相性激化』\r\n３すくみの効果が２倍になる	Triangle Adept\r\nDoubles weapon traingle effects.
『遠距離無効』\r\n敵の間接攻撃を無効化する	Tower Shield+\r\nNegates all ranged attacks.
『神の器』\r\n自分のスキル発動率＋３０	Rightful God\r\n+30% to skill activation rate.
ドラゴンシールド	Drg. Shield
ランスナイト	Cavalier
移動力にすぐれる騎士\r\n装備『槍』	Mounted knights with swift\r\nmovement. Equip: Lances.
鋼の盾	Stl. Shield
ブライアン	Brian
ネームネス	Nameless
エトルリア兵	Etrurian
書で覚えた\r\nスキルを消します	Removes any skills\r\nlearned via manuals.
祈りペンダント	Prayer Amlt
祈りのお守り	Prayer Amlt
鉄の盾	Iron Shield
ゾット団	Zot's
銀の盾	Silv. Shield
レザー	Lthr. Shield
レジスタンス	Resistance
ペルシーダ	Spellshield
クインクレイン	Arrowspate
ストンヘッジ	Stonehoist
スキルの書	Skill Manual
指揮の書	Cmd Manual
かがり火	Beacon
ならずもの	Bandit
アイアス	Aias
アイザック	Isaac
アモン	Amon
アリアナ	Ariana
アリシア	Alicia
アルティ	Artie
イーリス	Elise
エキドナ	Echidna
エトルリア兵	Etrurian
エルフィン	Elfin
オドレイ	Audrey
オニール	O'Neill
オルガ	Olga
オルソン	Olson
オルソン	Orson
カーラ	Kara
カーライル	Carlyle
ギルバード	Phelix
クリムト	Klimt
クロエ	Chloe
クロノス	Kronos
ケセルダ	Caellach
ケルベス	Kerbes
ケンプフ	Ken
サマナーン	Summonern
ザール	Saar
ジェスト	Jester
ジョニー	Johnny
ジョン	John
ジーナ	Jeana
セレーネ	Selene
ソフィア	Sofia
ゾット	Zot
ゾット団	Zot's
タイター	Titor
ダリス	Darth
ティラード	Tirado
デミ	Deni
デュラン	Dylan
ドラグーン隊	Dragoon
ネームレス	Nameless
ノアール	Schwarz
ノーマ	Numa
ハグロ	Haguro
バズバ	Bazba
バズバ団	Bazba's
バッカス	Berkus
バレル	Barelle
パブロ	Pablo
ヒューゲル	Hyuuga
ヒューゲル隊	Hyuuga's
ファリス	Ferris
ファード	Fado
フォデス	Fomortiis
フレリア兵	Frelian
ブライアン	Brian
ブラン	Schnee
ブレゲ	Breguet
ヘイデン	Hayden
ヘルメス	Hermes
ベルナ	Beran
ボリス	Boris
マンセル	Mansel
マーゲイ	Hugh
マーレイ	Murray
ミケ	Mike
ミスラ	Mythra
ミルラ	Myrrh
ムラサメ	Murasame
ムルヴァ	Morva
モールス	Morris
ララム	Lalum
リオン	Leon
リディ	Lizzy
リヒター	Richter
リリア	Lillia
レジスタンス	Resistance
レム	Rem
ロザリー	Rosalie
ロストン兵	Rausten
ヴァルカン	Vulcan
ヴィガルド	Vigarde
ヴィルヘルム	Wilhelm
ヴォルツ	Wolf
傭兵団	Mercenary
剣闘士	Gladiator
宝あらし	Hunter
市民	Citizen
市民	Civilian
神官	Priest
船長	Captain
西方『賊』	Pirate
解放軍	Liberation
軍師	Tactician
シュヴァリエ	Chevalier
ワイルドギース	Legionnaire
オフィシエ	Commandeur
ソードナイト	Cavalier
ランスナイト	Cavalier
ダークペガサス	Dark Flier
ドラグーン	Dragoon
バリスタ	Ballistician
コマンドナイト	Command Kn.
メイド	Maid
コマンダー	Harbinger
勇王	the peerless warrior king
穏健帝	the stalwart Silent Emperor
エレシュキガル	Ereshkigal
ルーチェ	Luse
その他作品より	Victory Cond
ブライアン	Brian
シュヴァルツ	Nameless
烈火の剣	The Binding Blade
鋼の盾	Stl. Shield
エトルリア兵	Etrurian
西方『賊』	Pirate
テイルズ	Tales
ワイルドギース	Legionnaire
書で覚えたスキルを\r\n書に戻します	Removes any skills\r\nlearned via manuals.
祈りペンダント	Prayer Amlt.
ハルバーディア	Halberdier
ウィンド	Wind
指揮	Ldr
ユニットの持つ指揮能力です\r\n値につき自軍の戦闘力があがります	Leadership ability. Your army's\r\npower increases with each star.
シュヴァリエ	Chevalier
渡り鳥のように戦場を流れ歩く猛者\r\n装備『剣』『斧』	A mercenary with a commanding\r\nprescence. Equip: Swords, axes★★	★★
★	Prf
★★★	★★★
鉄の盾	Iron Shield
★★★★	★★★★
スキル	Skills
軍師	Tactician
ゾット団	Zot's
銀の盾	Silv. Shield
レザー	Lthr. Shield
レジスタンス	Resistance
封印の剣	Binding Bld
バッカス	Berkus
ペルシーダ	Spellshield
エレファント	Pachyderm
クインクレイン	Arrowspate
ストンヘッジ	Stonehoist
スキルの書	Skill Manual
指揮の書	Cmd Manual
アイザック	Isaac
ボルガノン	Bolganone
烈火の剣	Blazing Bld
天雷の斧	Armads
至高の光	Radiate
★★★★★　	★★★★★　
マーゲイ	Hugh
モールス	Morris
ハグロ	Haguro
ヴォルフ	Wolf
ノアール	Schwarz
火竜	Fire Dragon
ジェスト	Jester
かがり火	Beacon
解除Ｍ	Clear Skill
ムラサメ	Murasame
イーリス	Elise
アイアンレイン	Iron Rain
『ツバメ返し』\r\n剣を専門に使うクラスに対して常に特効	Swordslayer\r\nDeal effective damage to swords.
ララム	Lalum
リディ専用	+2 Defense and +3 Resistance.\r\nFor Lizzy only.
エルフィン	Elfin
コマンダー	Harbinger
ラ・ピュセル	La Pucelle
アルベイン	Alvein
エキドナ	Echidna
自由を求めて	Freedom
山賊団の全滅	Rout bandits
２５ターン以内にボス撃破	Defeat boss in 20 turns
３０ターン以内に全員離脱	Escape in 30 turns
玉座の制圧	Seize throne
ヴァルカン　と会話	Talk to Vulcan
城門の制圧	Seize the gate
玉座の制圧	Seize throne
敵部隊の全滅	Rout enemy
魔物の全滅	Rout monters
ボス　ヒューゲルの撃破	Defeat Hyuuga
主人公の１３ターン生存\r\n（またはハグロの撃破）	Survive for 13 turns,\r\nor defeat Haguro
アイザックの離脱\r\n（またはボスの撃破）	Escape or defeat boss
リディ　と会話	Talk to Lizzy
目的：解放軍との共闘	Collaborate with the Liberation
拠点の防衛	Defend base
玉座の制圧	Seize throne
２つの城の制圧	Seize two castles
一年前	1 year ago
一年半前	1 1/2 years ago
アリアナ	Ariana
ゼト	Seth
リヒター	Richter
オルソン	Olson
モルダ	Moulder
ケルベス	Kerbes
ロス	Ross
ファリス	Ferris
カーラ	Kara
バレル	Barelle
デュラン	Dylan
ボリス	Boris
オドレイ	Audrey
アルティ	Artie
リディ	Lizzy
セレーネ	Selene
ハミルトン	Olga
リリア	Lillia
タイター	Titor
ブラン	Schnee
ジョン	John
クロエ	Chloe
ヴィルヘルム	Wilhelm
レム	Rem
ソフィア	Sofia
ドズラ	Dozla
ジーナ	Jeana
ヘルメス	Hermes
ジョニー	Johnny
ミルラ	Myrrh
クロノス	Kronos
ヴァルカン	Vulcan
ダリス	Darth
ミスラ	Mythra
リオン	Leon
オルソン	Orson
ロザリー	Rosalie
アリシア	Alicia
ブレゲ	Breguet
ミケ	Mike
バズバ	Bazba
ザール	Saar
ノーマ	Numa
マーレイ	Murray
ティラード	Tirado
ゾット	Zot
パブロ	Pablo
アイアス	Aias
カーライル	Carlyle
ケセルダ	Caellach
デミ	Deni
アーヴ	Alvin
ゲブ	Gheb
ベルナ	Beran
オニール	O'Neill
ガリウス	Amon
ハーディス	ハーディス
ヴィガルド	Vigarde
グラド兵	Soldier
グラド残党	Remnant
ならずもの	Bandit
宝あらし	Hunter
カルチノ兵	Sellsword
ヒューゲル隊	Hyuuga's
傭兵団	Mercenary
バズバ団	Bazba's
魔物	Warrior
魔物	Monster
マミー	Entombed
剣闘士	Gladiator
解放軍	Liberation
フォデス	Fomortiis
ファード	Fado
ヘイデン	Hayden
クリムト	Klimt
マンセル	Mansel
ヒューゲル	Hyuuga
イシュメア	Ismaire
ドラグーン隊	Dragoon
フレリア兵	Frelian
ロストン兵	Rausten
市民	Citizen
ルネスの民	Renais Cit.
市民	Civilian
壊れる壁	Wall
古木	Snag
マーク	Mark
イビル	Evil
サマナーン	Summonern
船長	Captain
ロード	Lord
オフィシエ	Commandeur
ソードナイト	Cavalier
パラディン	Paladin
ランスアーマー	Knight
ジェネラル	General
盗賊	Thief
傭兵	Mercenary
勇者	Hero
剣士	Myrmidon
ソードマスター	Swordmaster
アサシン	Assassin
アーチャー	Archer
スナイパー	Sniper
(ﾌｫﾚｽﾄﾅｲﾄ)	Ranger
ドラゴンナイト	Wyvern Rider
(ﾄﾞﾗｺﾞﾝﾏｽﾀｰ)	Wyvern Lord
(ﾜｲﾊﾞｰﾝﾅｲﾄ)	Wyvern Kn.
魔道士	Mage
賢者	Sage
マージナイト	Mage Knight
司祭	Bishop
ダークペガサス	Dark Flier
マムクート	Manakete
かけだし戦士	Journeyman
魔道士見習い	Pupil
新人兵士	Recruit
ローグ	Rogue
戦士	Fighter
ウォーリア	Warrior
山賊	Brigand
バーサーカー	Berserker
グレートナイト	Great Knight
ダークマージ	Shaman
ソーサラー	Druid
サマナー	Summoner
修道士	Monk
バード	Bard
神官	Priest
ペガサスナイト	Pegasus Kn.
(ﾌｧﾙｺﾝﾅｲﾄ)	Falcoknight
シスター	Cleric
トルバドール	Troubadour
ヴァルキュリア	Valkyrie
踊り子	Dancer
ソルジャー	Soldier
海賊	Pirate
ネクロマンサー	Necromancer
船団	Fleet
亡霊戦士	Phantom
メイド	Maid
ウォーモンク	Entombed
遊牧民	Nomad
遊牧騎兵	Nmd Troop
バール	Spider
エルダバール	Arachnid
ストレイシーフ	Stray Thief
(ﾓｰｻﾄﾞｩｰｸﾞ)	Hellhound
ケルベロス	Cerberus
アクスナイト	Cavalier
ドラグーン	Dragoon
バロン	Baron
マスターナイト	Master Kn.
バリスタ	Ballistician
コマンドナイト	Command Kn.
アクスアーマー	Gargoyle
(ﾃﾞｽｶﾞｰｺﾞｲﾙ)	Deathgoyle
(ﾄﾞﾗｺﾞﾝｿﾞﾝﾋﾞ)	Dracozombie
魔王	Demon King
市民	Civilian
教皇	King
女王	Queen
輸送隊	Transporter
領地をおさめる君主の後継\r\nまだ年若い　未完の大器	A young monarch who protects\r\ntheir home. Equip: Swords.
領地をおさめる君主の後継\r\nまだ年若い　未完の大器	Noble heirs to a ruling house.\r\nThey possess great potential.
己が信じる正義と誇りに誓った騎士\r\n装備『剣・槍』　奥義『太陽』	A knight sworn to fight for\r\njustice. Equip: Sword, lance.
前線に立ち周囲を先導する指揮官\r\n敵に絶望を　味方に勇気を与える	An inspiring commander who strikes fear\r\ninto his enemies. Equip: Sword, axe.
移動力にすぐれる騎士\r\n装備『剣』	Mounted knights with swift\r\nmovement. Equip: Swords.
高い移動力と攻守に優れた力を持つ\r\n装備『剣・槍』　奥義『太陽』	Mounted knights with superior abilities.\r\nEquip: Swords, lances.
守備力に優れるが速さや移動力に劣る\r\n装備『槍』	Heavily armored knights with high\r\ndefenses. Equip: Lances.
攻撃・守備力に優れるが移動力は低い\r\n装備『槍・斧』　スキル『大盾』	Knights of great skill.\r\nEquip: Lances, axes.
盗みなど様々な能力をもつ\r\n装備『剣』	Multitalented knaves with an eye for\r\nriches. Equip: Swords, staves.
全能力のバランスが安定している\r\n装備『剣』	Well-balanced professional soldiers-\r\nfor-hire. Equip: Swords.
攻守ともに優れる　戦場の主役\r\n装備『剣・斧』　奥義『天空』	Seasoned veterans with remarkable\r\nskill. Equip: Swords, axes.
技・速さに優れ　必殺の一撃を放つ\r\n装備『剣』	Talented swordsmen skilled in swift\r\nkilling strokes. Equip: Swords.
剣の達人　素早い動きと一撃必殺の技\r\n装備『剣』　奥義『流星』	Lightning-fast swordsmen of peerless\r\nand lethal skill. Equip: Swords.
一撃で敵を葬る　瞬殺の奥義をもつ\r\n装備『剣・弓』　スキル『すり抜け』	Masters of the killing arts.\r\nEquip: Swords, bows.
弓を用い　離れた敵に攻撃できる\r\n装備『弓』	Warriors who use bows to attack from\r\nafar. Equip: Bows.
正確無比な弓のエキスパート\r\n装備『弓』　スキル『神射手』	Archers of unparralled accuracy that can\r\nshoot from a longer distance. Equip: Bows.
弓と剣を使い分け　移動力にすぐれる\r\n装備『剣・弓』　スキル『近接射撃』	Fighters skilled in both sword and bow.\r\nEquip: Swords, bows.
